User Id,Start date,End date,Duration,Q01_Pregunta 1,Q02_Pregunta 1 (2),Q03_Pregunta 2,Q04_Pregunta 2 (2),Q05_Pregunta 3,Q06_Pregunta 3 (2),Q07_Pregunta 4,Q08_Pregunta 4 (2)
327,11:57:36 19/12/2016,12:07:16 19/12/2016,580,Sóc responsable del que em passa a mi,Una mica identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
341,11:57:34 19/12/2016,12:08:19 19/12/2016,645,Algunes vegades sento que no tinc control sobre la direcció de la meva vida,Una mica identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",Una mica identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,També molt identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Gens identificat
314,11:58:25 19/12/2016,12:07:22 19/12/2016,537,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",També molt identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,També molt identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
298,11:57:34 19/12/2016,12:08:03 19/12/2016,629,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
315,11:57:36 19/12/2016,12:07:49 19/12/2016,613,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Gens identificat
337,11:57:49 19/12/2016,12:08:18 19/12/2016,629,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
309,11:58:26 19/12/2016,12:08:14 19/12/2016,588,Sóc responsable del que em passa a mi,Una mica identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Una mica identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
342,11:58:28 19/12/2016,12:07:44 19/12/2016,556,Sóc responsable del que em passa a mi,Gens identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Gens identificat
293,11:57:34 19/12/2016,12:08:03 19/12/2016,629,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Aconseguir el que vull no depén de la bona o mala sort,Una mica identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Gens identificat
326,11:57:11 19/12/2016,12:08:14 19/12/2016,663,Sóc responsable del que em passa a mi,Gens identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",Una mica identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,També molt identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
307,11:57:28 19/12/2016,12:07:56 19/12/2016,628,Algunes vegades sento que no tinc control sobre la direcció de la meva vida,Gens identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",Una mica identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,Gens identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
328,11:58:32 19/12/2016,12:08:18 19/12/2016,586,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Una mica identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
323,11:58:40 19/12/2016,12:08:17 19/12/2016,577,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",També molt identificat,Aconseguir el que vull no depén de la bona o mala sort,Una mica identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
318,11:57:35 19/12/2016,12:08:40 19/12/2016,665,Sóc responsable del que em passa a mi,Una mica identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Gens identificat
334,11:57:42 19/12/2016,12:11:31 19/12/2016,829,Sóc responsable del que em passa a mi,Una mica identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Una mica identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
291,11:58:57 19/12/2016,12:09:12 19/12/2016,615,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,Gens identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
339,11:58:28 19/12/2016,12:10:01 19/12/2016,693,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Gens identificat
330,11:58:23 19/12/2016,12:10:13 19/12/2016,710,Sóc responsable del que em passa a mi,Una mica identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",També molt identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,També molt identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
312,11:57:36 19/12/2016,12:11:58 19/12/2016,862,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Una mica identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Gens identificat
302,11:59:14 19/12/2016,12:11:46 19/12/2016,752,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,També molt identificat
303,11:59:10 19/12/2016,12:12:09 19/12/2016,779,Algunes vegades sento que no tinc control sobre la direcció de la meva vida,Una mica identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",Una mica identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,També molt identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
306,11:58:21 19/12/2016,12:12:45 19/12/2016,864,Sóc responsable del que em passa a mi,Una mica identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",També molt identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,Una mica identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,També molt identificat
313,11:58:41 19/12/2016,12:12:05 19/12/2016,804,Sóc responsable del que em passa a mi,Gens identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
335,11:57:59 19/12/2016,12:13:02 19/12/2016,903,Algunes vegades sento que no tinc control sobre la direcció de la meva vida,Una mica identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Una mica identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,També molt identificat
321,11:58:24 19/12/2016,12:12:39 19/12/2016,855,Algunes vegades sento que no tinc control sobre la direcció de la meva vida,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,No crec que la sort o l'atzar juguin un paper important a la meva vida,Una mica identificat
317,11:57:35 19/12/2016,12:14:41 19/12/2016,1026,Sóc responsable del que em passa a mi,Gens identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Aconseguir el que vull no depén de la bona o mala sort,Gens identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
305,11:57:37 19/12/2016,12:16:41 19/12/2016,1144,Sóc responsable del que em passa a mi,Una mica identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Una mica identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,Gens identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Gens identificat
311,12:04:33 19/12/2016,12:14:58 19/12/2016,625,Sóc responsable del que em passa a mi,També molt identificat,"No cal planejar massa les coses, perquè el que acabi passant dependrà de la bona o mala sort",Una mica identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,Gens identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
299,11:58:52 19/12/2016,12:16:28 19/12/2016,1056,Sóc responsable del que em passa a mi,Gens identificat,"Quan faig plans, estic gairebé segur o segura que els puc dur a terme",Gens identificat,Moltes vegades decidir o tirar a cara o creu et permeten aconseguir el mateix,Gens identificat,Moltes vegades sento que tinc poca influència sobre les coses que em passen.,Una mica identificat
